"timestamp","payload"
"613088","{""internal_temperature"":{""N"":""31.47999954""},""pressure"":{""N"":""973.3027954""},""external_temperature"":{""N"":""30.1875""},""timestamp"":{""N"":""613088""}}"
"348091","{""internal_temperature"":{""N"":""32.40999985""},""pressure"":{""N"":""974.1090698""},""external_temperature"":{""N"":""31.125""},""timestamp"":{""N"":""348091""}}"
"76450","{""internal_temperature"":{""N"":""32.70999908""},""pressure"":{""N"":""975.1966553""},""external_temperature"":{""N"":""31.4375""},""timestamp"":{""N"":""76450""}}"
"79190","{""internal_temperature"":{""N"":""29.86000061""},""pressure"":{""N"":""973.350769""},""external_temperature"":{""N"":""29.375""},""timestamp"":{""N"":""79190""}}"
"365924","{""internal_temperature"":{""N"":""30.93000031""},""pressure"":{""N"":""973.4154663""},""external_temperature"":{""N"":""30.75""},""timestamp"":{""N"":""365924""}}"
"94560","{""internal_temperature"":{""N"":""32.27999878""},""pressure"":{""N"":""974.2545166""},""external_temperature"":{""N"":""31.1875""},""timestamp"":{""N"":""94560""}}"
"288207","{""internal_temperature"":{""N"":""31.48999977""},""pressure"":{""N"":""973.387207""},""external_temperature"":{""N"":""30.1875""},""timestamp"":{""N"":""288207""}}"
"15839","{""internal_temperature"":{""N"":""30.34000015""},""pressure"":{""N"":""973.4078979""},""external_temperature"":{""N"":""30.125""},""timestamp"":{""N"":""15839""}}"
"173702","{""internal_temperature"":{""N"":""32.18999863""},""pressure"":{""N"":""974.3696289""},""external_temperature"":{""N"":""31.3125""},""timestamp"":{""N"":""173702""}}"
"1002017","{""internal_temperature"":{""N"":""31.18000031""},""pressure"":{""N"":""973.4246216""},""external_temperature"":{""N"":""30.875""},""timestamp"":{""N"":""1002017""}}"
"7082","{""internal_temperature"":{""N"":""32.20999908""},""pressure"":{""N"":""974.0562744""},""external_temperature"":{""N"":""31.3125""},""timestamp"":{""N"":""7082""}}"
"525714","{""internal_temperature"":{""N"":""32.40999985""},""pressure"":{""N"":""974.0186157""},""external_temperature"":{""N"":""30.6875""},""timestamp"":{""N"":""525714""}}"
